Position [m]	Sabre [mm/m]	Band width [mm]
26.06	0.35	12.01
26.09	0.35	12.01
26.11	0.34	12.01
26.14	0.35	12.01
26.16	0.36	12.02
26.19	0.37	12.02
26.21	0.35	12.02
26.24	0.35	12.01
26.26	0.35	12.01
26.28	0.36	12.02
26.31	0.38	12.01
26.33	0.37	12.01
26.36	0.36	12.02
26.38	0.35	12.02
26.41	0.36	12.02
26.43	0.37	12.02
26.45	0.37	12.02
26.48	0.37	12.01
26.50	0.37	12.02
26.53	0.37	12.02
26.55	0.38	12.02
26.58	0.38	12.02
26.60	0.37	12.01
26.62	0.37	12.02
26.65	0.37	12.02
26.67	0.37	12.02
26.70	0.38	12.01
26.72	0.37	12.02
26.75	0.36	12.02
26.77	0.37	12.02
26.79	0.37	12.02
26.82	0.37	12.02
26.84	0.38	12.01
26.87	0.36	12.02
26.89	0.38	12.01
26.92	0.38	12.01
26.94	0.38	12.02
26.96	0.38	12.01
26.99	0.37	12.01
27.01	0.37	12.02
27.04	0.38	12.01
27.06	0.39	12.02
27.09	0.38	12.01
27.11	0.37	12.02
27.13	0.37	12.02
27.16	0.38	12.01
27.18	0.39	12.02
27.21	0.38	12.01
27.23	0.38	12.02
27.26	0.38	12.02
27.28	0.38	12.01
27.30	0.39	12.02
27.33	0.38	12.01
27.35	0.39	12.01
27.38	0.38	12.00
27.40	0.38	12.01
27.43	0.39	12.02
27.45	0.38	12.01
27.47	0.38	12.01
27.50	0.38	12.01
27.52	0.38	12.02
27.55	0.38	12.01
27.57	0.38	12.01
27.60	0.37	12.02
27.62	0.37	12.02
27.64	0.38	12.02
27.67	0.38	12.01
27.69	0.39	12.01
27.72	0.38	12.02
27.74	0.38	12.01
27.77	0.38	12.02
27.79	0.38	12.01
27.81	0.38	12.01
27.84	0.39	12.01
27.86	0.38	12.01
27.89	0.38	12.02
27.91	0.39	12.02
27.94	0.38	12.01
27.96	0.39	12.01
27.98	0.38	12.02
28.01	0.38	12.01
